Data of yield components,,,,,,,,,,,,,,,,,,,,,
Different colors refer to different day of harvesting,,,,,,,,,,,,,,,,,,,,,
Black: harvested on 8 January,,,,,,,,,,,,,,,,,,,,,
Red: harvested on 11 January,,,,,,,,,,,,,,,,,,,,,
Green: harvested on 15 January,,,,,,,,,,,,,,,,,,,,,
Purple: harvested on 22 January,,,,,,,,,,,,,,,,,,,,,
Ligh Blue: harvested on 4 February and later,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,Plant 2,,Plant 3,,Plant 4,,Plant 5,,,,,,,,,,,,
I-1-1,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,,,,,,,,,,,
,120.89,90.48,121.47,115.91,96.7,87.13,128.51,124.2,98.83,62.82,,,,,,,,,,,
,94.87,78.02,138.08,98.18,91.98,83.88,102.26,122.09,117.88,93.16,,,,,,,,,,,
,101.47,94.46,120.6,86.11,92.97,89.45,96.97,102.09,127.3,77,,,,,,,,,,,
,99.03,123.54,108.23,85.5,74.16,83.18,102.93,130.09,120.6,107.54,,,,,,,,,,,
,77.26,,90.88,96.66,71.1,81.98,50.12,81.08,77.29,,,,,,,,,,,,
,74.8,,,,78.92,73.03,113.83,85.3,82.3,,,,,,,,,,,,
,,,,,,,45.3,55.4,139.35,,,,,,,,,,,,
Number of fruit,10,,10,,12,,14,,11,,11.4,,,,,,,,,,
Number of marketable fruit (weight >=60g),10,,10,,12,,11,,10,,10.6,,,,,,,,,,
Average fruit weight,95.482,,106.162,,83.70666667,,95.72642857,,100.37,,96.28941905,,,,,,,,,,
Average marketable fruit weight,95.482,,106.162,,83.70666667,,108.1227273,,100.37,,98.76867879,,,,,,,,,,
sd,16.9063077,,17.56698406,,8.301414264,,28.8203717,,24.25212073,,19.16943969,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,,Plant 2,,,Plant 3,,,Plant 4,,,Plant 5,,,,,,,,
I-1-2,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,,,,,,
,107.5,80.68,82.74,87.01,110.62,87.98,104.93,110.42,89.24,74.36,77.92,87.56,117.37,132.54,97.89,,,,,,
,116.02,86.95,88.26,90.75,103.09,60.56,108.16,96.77,74.05,101.92,80.29,67.6,97.55,109.25,89.32,,,,,,
,98.79,76.36,75.96,87.6,82.05,71.91,86.42,93.99,56.9,94.52,96.75,149.23,91.88,107.97,86.55,,,,,,
,79.17,85.98,81.29,75.42,70.89,63.36,,70.21,69.81,91.83,149.69,60.31,,102.14,66.1,,,,,,
,70.79,62.37,,,71.84,37.52,,83.62,47.39,77.56,89.15,52.56,,133.27,71.8,,,,,,
,,,,,67.1,,,79.44,,85.71,,,,100.82,,,,,,,
,,,,,58.66,,,,,,,,,,,,,,,,
Number of fruit,14,,,16,,,14,,,16,,,14,,,14.8,,,,,
Number of marketable fruit (weight >=60g),14,,,14,,,12,,,15,,,14,,,13.8,,,,,
Average fruit weight,85.20428571,,,76.6475,,,83.66785714,,,89.81,,,100.3178571,,,87.1295,,,,,
Average marketable fruit weight,85.20428571,,,80.72714286,,,88.92166667,,,92.29333333,,,100.3178571,,,89.49285714,,,,,
sd,14.18394527,,,18.07099204,,,18.81200974,,,26.74771417,,,19.48606255,,,19.46014475,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,,,Plant 2,,,,Plant 3,,,,Plant 4,,,,Plant 5,,,,
I-1-3,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,
,165.62,76,84.01,76.79,105.76,103.86,83.22,78.85,100.25,104.59,101.25,107.86,97.28,80.29,87.44,77.88,110.87,96.3,87.87,100.11,
,131.88,89.76,69.54,58.51,92.89,96.71,70.68,78.63,111.47,90.3,69.44,84.04,124.66,84.83,77.65,62.92,98.73,97.46,79.45,96.67,
,138.24,84.87,80.89,43.72,94.12,96.15,82.52,91.52,97.58,86.65,79.17,76.87,112.78,82.54,68.45,76.15,126.76,105.55,64.84,99.34,
,94.25,88.72,84.4,,93.72,82.51,74.93,90.51,90.39,87.88,80.2,70.35,81.32,73.95,55.71,87.05,70.8,81.13,76.47,87.91,
,88.13,57.85,83.7,,97.42,62.25,57.55,62.61,85.81,78.15,,48.77,81.47,66.95,,88,50.3,,59.11,,
,89.44,67.87,55.7,,93.01,79.27,,69.91,78.54,55.9,,,72.74,,,59.03,,,,,
,85.53,,56.96,,74.92,,,45.32,59.51,45.3,,,57.59,,,,,,,,
,,,,,69.69,,,,,,,,73.81,,,,,,,,
,,,,,,,,,,,,,91.3,,,,,,,,
,,,,,,,,,,,,,72.86,,,,,,,,
Number of fruit,23,,,,26,,,,23,,,,25,,,,18,,,,23
Number of marketable fruit (weight >=60g),18,,,,24,,,,19,,,,22,,,,16,,,,19.8
Average fruit weight,84.88608696,,,,81.86653846,,,,82.18565217,,,,79.786,,,,88.315,,,,83.40785552
Average marketable fruit weight,93.31333333,,,,84.4025,,,,88.46263158,,,,82.83272727,,,,92.51625,,,,88.30548844
sd,27.93805823,,,,15.03249971,,,,18.09472922,,,,15.84802985,,,,19.24598514,,,,19.23186043
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,Plant 2,,Plant 3,,Plant 4,,Plant 5,,,,,,,,,,,,
I-2-1,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,,,,,,,,,,,
,101.12,68.67,85.82,124,98.09,105.66,89.95,79.03,98.95,99.2,,,,,,,,,,,
,74.51,62.24,92.05,86.83,84.42,94.77,96.95,80.66,93.6,80.09,,,,,,,,,,,
,70.81,38.9,93.71,86.02,78.63,92.58,99.09,93.88,102.05,104.27,,,,,,,,,,,
,65.86,42.82,81.58,58.74,75.17,90.05,83.46,95.03,89.64,65.38,,,,,,,,,,,
,61.89,41.87,73.02,56.87,63.86,95.94,83.84,93.88,,64.69,,,,,,,,,,,
,,,,,,77.37,68.53,95.03,,55.78,,,,,,,,,,,
,,,,,,62.91,70.52,,,,,,,,,,,,,,
Number of fruit,10,,10,,12,,13,,10,,11,,,,,,,,,,
Number of marketable fruit (weight >=60g),7,,8,,12,,13,,9,,9.8,,,,,,,,,,
Average fruit weight,62.869,,83.864,,84.95416667,,86.91153846,,85.365,,80.79274103,,,,,,,,,,
Average marketable fruit weight,72.15714286,,90.37875,,84.95416667,,86.91153846,,88.65222222,,84.61076404,,,,,,,,,,
sd,18.62822378,,19.07536119,,13.5743096,,10.06796474,,17.72566328,,15.81430452,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,,Plant 2,,,Plant 3,,,Plant 4,,,Plant 5,,,,,,,,
I-2-2,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,,,,,,
,136.46,84.19,109.37,96.71,93.42,106.28,96.87,79.19,79.72,116.02,88.48,73.44,115.39,100.34,87.41,,,,,,
,125.08,106.49,96.06,115.94,93.01,116.6,97.29,90.11,77.67,113.01,96.54,54.2,107.15,82.31,71.31,,,,,,
,161.85,98.38,109.88,96.29,87.76,96.29,81.07,69.66,79.11,103.31,87.39,86.69,101.93,67.44,103.81,,,,,,
,91.49,81.62,110.48,93.57,105.83,92.01,82.5,,65.09,79.83,61.41,71.59,97.84,100.03,59.06,,,,,,
,112.93,54.86,84.04,88.64,66.22,101.42,70.5,,55.56,93.9,66.91,67.83,62.01,,,,,,,,
,95.8,,94.34,,,,72.61,,86.65,76.19,46.44,80,,,,,,,,,
,,,,,,,,,,61.21,,,,,,,,,,,
Number of fruit,17,,,15,,,15,,,19,,,13,,15.8,,,,,,
Number of marketable fruit (weight >=60g),16,,,15,,,14,,,17,,,12,,14.8,,,,,,
Average fruit weight,103.1364706,,,96.666,,,78.90666667,,,80.23105263,,,88.92538462,,89.5731149,,,,,,
Average marketable fruit weight,106.15375,,,96.666,,,80.57428571,,,83.75,,,91.41416667,,91.71164048,,,,,,
sd,23.90271427,,,12.22994966,,,11.33198612,,,19.01144681,,,18.68739085,,17.03269754,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,,,Plant 2,,,,Plant 3,,,,Plant 4,,,,Plant 5,,,,
I-2-3,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,
,106.76,61.92,80.92,73.9,135.36,117.5,100.38,100.13,133.67,110.92,91.03,82.39,112.68,104.21,111.77,69.69,,,,,
,100.98,96.2,67.23,52.63,123.34,96.46,102.11,103.65,105.7,89.93,75.09,108.75,118.65,82.8,67.09,90.6,,,,,
,84.75,83.86,87.87,60.38,106.56,91.75,107.65,80.39,91.62,82.13,95.08,100.81,94.14,71.33,57.36,86.99,,,,,
,79.81,103.17,,57.75,91.59,102,85.97,,74.45,97,81.06,,112.95,70.81,79.99,,,,,,
,84.85,85.53,,,103.75,102.17,,,97.94,79.45,104.63,,102.44,71.34,,,,,,,
,57.95,68.64,,,97.95,94.67,,,70.01,104.63,90.88,,71.08,61.66,,,,,,,
,,77.91,,,,70.67,,,71.78,,83.11,,,,,,,,,,
Number of fruit,20,,,,20,,,,23,,,,19,,20.5,,,,,,
Number of marketable fruit (weight >=60g),17,,,,20,,,,23,,,,18,,19.5,,,,,,
Average fruit weight,78.6505,,,,100.7025,,,,92.26347826,,,,86.18842105,,89.45122483,,,,,,
Average marketable fruit weight,82.62823529,,,,100.7025,,,,92.26347826,,,,87.79,,90.84605339,,,,,,
sd,15.97600519,,,,14.25206167,,,,15.17534172,,,,19.47071826,,16.21853171,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,Plant 2,,Plant 3,,Plant 4,,Plant 5,,,,,,,,,,,,
I-3-1,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,,,,,,,,,,,
,128.59,134.24,141.51,161.9,126.43,108.33,103.15,76.55,113.31,126.59,,,,,,,,,,,
,134.72,103.73,104.77,88.05,111.27,100.46,111.91,66.79,124.76,98.3,,,,,,,,,,,
,107.09,118.36,121.79,101.35,99.49,120.7,97.02,,92.02,102.54,,,,,,,,,,,
,93.47,108.63,89.9,94.57,105.7,98.49,99.8,,94.85,79.74,,,,,,,,,,,
,142.04,,77.81,84.53,97,65.22,92.76,,110.24,62.35,,,,,,,,,,,
,113.33,,75.14,,85.23,,96.35,,127.55,69.5,,,,,,,,,,,
,,,,,,,,,96.77,53.84,,,,,,,,,,,
,,,,,,,,,70.57,65.2,,,,,,,,,,,
Number of fruit,10,,11,,11,,8,,16,,,11.2,,,,,,,,,
Number of marketable fruit (weight >=60g),10,,11,,11,,8,,15,,,11,,,,,,,,,
Average fruit weight,118.42,,103.7563636,,101.6654545,,93.04125,,93.008125,,,101.9782386,,,,,,,,,
Average marketable fruit weight,118.42,,103.7563636,,101.6654545,,93.04125,,95.61933333,,,102.5004803,,,,,,,,,
sd,15.86652311,,27.42788846,,16.62819495,,14.59865007,,24.02089208,,,19.70842973,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,,Plant 2,,,Plant 3,,,Plant 4,,,Plant 5,,,,,,,,
I-3-2,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,,,,,,
,108.3,99.96,66.92,162.81,91.15,59.89,92.11,78.86,83.87,90.89,81.02,77.57,101.89,106.66,72.72,,,,,,
,122.27,83.7,69.35,126.86,80.99,79.6,98.3,89.7,76.02,91.86,81.06,48.39,90.75,91.51,67.06,,,,,,
,87.38,78.1,61.77,124.44,88.17,49.92,102.26,89.72,76.07,91.07,82.15,65.37,89.58,84.78,55.98,,,,,,
,75.63,77.38,54.88,157.92,70.13,52.84,80.22,100.29,53.75,79.39,73.65,62.72,86.51,85.2,,,,,,,
,68.39,74.47,53.2,122.04,61.17,,142.26,78.74,99.42,78.59,76.22,61.89,66.57,62.94,,,,,,,
,,65.28,41.19,,,,,77.32,,68.91,,,45.17,71.36,,,,,,,
,,,,,,,,,,,,,64.01,,,,,,,,
Number of fruit,17,,,14,,,16,,,16,,,16,,,15.8,,,,,
Number of marketable fruit (weight >=60g),14,,,11,,,15,,,15,,,14,,,13.8,,,,,
Average fruit weight,75.77470588,,,94.85214286,,,88.681875,,,75.671875,,,77.668125,,,82.52974475,,,,,
Average marketable fruit weight,81.35,,,105.9345455,,,91.01066667,,,77.49066667,,,81.53857143,,,87.46489004,,,,,
sd,20.3633111,,,37.69312591,,,18.92122202,,,11.87300592,,,17.02406619,,,21.17494623,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,,,Plant 2,,,,Plant 3,,,,Plant 4,,,,Plant 5,,,,
I-3-3,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,
,95.71,80.68,81.77,68.02,103.65,75.15,73.68,80.48,105.95,120.34,87.37,77.17,67.68,83.29,67.37,60.04,114.94,62.44,88.54,71.06,
,92.52,84.58,66.11,56.47,111.59,82.52,108.58,81.27,103.74,88.17,87.22,87.81,84.43,79.42,79.36,64.47,107.58,92.22,95.15,71.03,
,92.98,82.25,57.25,68.24,107.2,69.34,74.55,82.62,103.22,127.46,88.41,92.66,69.15,70.71,76.94,69.54,65.35,86.11,87.24,69.35,
,94.83,,75.86,71.67,85.02,60.25,69.23,65.28,107.34,98.83,66.78,68.6,77.67,82.05,88.02,42.75,79.38,91.88,68.44,87.11,
,78.34,,,71.38,82.73,46.99,62.65,81.93,91.01,97.94,69.49,66.3,71.33,60.19,,65.08,58.55,59.78,49.5,,
,74.31,,,,,58.2,59.57,66.74,70.11,79.54,55.38,55.8,71.46,,,55.68,,,55.18,,
,,,,,,,,,,,,,68.25,,,,,,,,
Number of fruit,18,,,,23,,,,24,,,,22,,,,20,,,,21.4
Number of marketable fruit (weight >=60g),16,,,,20,,,,22,,,,20,,,,16,,,,18.8
Average fruit weight,77.38722222,,,,77.79217391,,,,87.36,,,,70.67636364,,,,78.0415,,,,78.25145195
Average marketable fruit weight,79.953125,,,,81.223,,,,90.24818182,,,,72.8225,,,,83.61375,,,,81.57211136
sd,11.98198933,,,,17.11180054,,,,18.95859677,,,,10.57084154,,,,17.74675457,,,,15.27399655
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,Plant 2,,Plant 3,,Plant 4,,Plant 5,,,,,,,,,,,,
I-4-1,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,Truss 1,Truss 2,,,,,,,,,,,
,124.63,112.72,146.55,105.83,128.82,119.83,91.96,112.7,121.74,121.87,,,,,,,,,,,
,109.62,102.65,144.65,113.59,132,124.37,108.76,90.66,137.76,117.37,,,,,,,,,,,
,97.75,103.53,115.57,99.44,115.57,110.13,99.9,90.94,140.68,117.8,,,,,,,,,,,
,70.95,82.7,117.99,101.92,104.44,108.78,99.18,61.34,127.48,110.64,,,,,,,,,,,
,76.85,83.54,97.39,90.84,102.03,104.55,52.35,72.49,116.77,129.35,,,,,,,,,,,
,,,104.63,92.21,88.67,87.97,86.11,78.79,128.05,,,,,,,,,,,,
,,,90.83,113.6,90.16,95.07,75.71,,92.54,,,,,,,,,,,,
Number of fruit,10,,14,,14,,13,,12,,12.6,,,,,,,,,,
Number of marketable fruit (weight >=60g),10,,14,,14,,12,,12,,12.4,,,,,,,,,,
Average fruit weight,96.494,,109.6457143,,108.0278571,,86.22230769,,121.8375,,104.4454758,,,,,,,,,,
Average marketable fruit weight,96.494,,109.6457143,,108.0278571,,89.045,,121.8375,,105.0100143,,,,,,,,,,
sd,17.36104144,,17.73435897,,14.67691761,,17.7004398,,12.72475763,,16.03950309,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,,Plant 2,,,Plant 3,,,Plant 4,,,Plant 5,,,,,,,,
I-4-2,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,Truss 1,Truss 2,Truss 3,,,,,,
,105.05,85.54,43.92,105.11,85.42,90.79,109.7,89.86,82.59,84.59,82.8,86.68,77.87,65.26,83.97,,,,,,
,109.97,106.48,40.09,92.21,91.4,79.29,124.02,102.52,75.84,75.74,90.75,73.34,78.37,106.35,75.98,,,,,,
,105,94.92,58.58,74.07,86.87,72.77,65.71,96.76,60.78,78.33,79.4,83.11,148.2,52.89,69.88,,,,,,
,87.98,93.87,21.18,107.73,84.71,66.14,55.96,89.51,79.13,75.25,71.58,85.79,84.2,58.02,65.45,,,,,,
,93.73,83.67,,49.04,81.15,,89.07,,,75.83,52.47,68.35,,,61.81,,,,,,
,,72.17,,,,,,,,69.35,55.22,,,,,,,,,,
,,79.89,,,,,,,,,,,,,,,,,,,
Number of fruit,16,,,14,,,13,,,17,,,13,,,14.6,,,,,
Number of marketable fruit (weight >=60g),12,,,13,,,12,,,15,,,11,,,12.6,,,,,
Average fruit weight,80.1275,,,83.33571429,,,86.26538462,,,75.79882353,,,79.09615385,,,80.92471526,,,,,
Average marketable fruit weight,93.18916667,,,85.97384615,,,88.79083333,,,78.726,,,83.39454545,,,86.01487832,,,,,
sd,26.37862152,,,15.13477489,,,19.45895707,,,10.39782242,,,24.95334064,,,19.26470331,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Plant 1,,,,Plant 2,,,,Plant 3,,,,Plant 4,,,,Plant 5,,,,
I-4-3,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,Truss 1,Truss 2,Truss 3,Truss 4,
,96.5,86.86,74.95,72.59,120.19,103.85,85.77,66.62,122.95,106.51,68.45,85.88,51.84,86.71,55.9,60.93,81.65,82.04,50.37,65.03,
,81.46,94.16,67.45,63.68,114.8,100.13,87.91,74.71,110.64,109.03,75.29,82.87,101.88,85.05,51.67,55.83,79.4,58.07,54.4,61.29,
,94.79,82.11,88.65,75.66,87.35,89.22,77.53,64.38,55.95,95.3,89.76,90.05,59.86,96.94,48.39,,73.06,48.04,53.36,62.06,
,90.97,68.26,75.84,70.53,87.35,95.43,119.34,47.03,57.42,83.32,84.8,94.43,60.66,76.14,,,70.37,59.36,63.4,60.44,
,55.05,90.93,41.33,68.11,70.71,76.37,49.33,,,87.37,,57.93,87.4,67.32,,,69.87,68.7,69.6,67.85,
,59.33,75.68,49.95,55.59,71.85,66.19,,,,82.75,,,59.58,71.47,,,55.64,49.97,52.7,,
,,,70.42,,72.56,65.63,,,,,,,65.89,,,,,,,,
,,,69.85,,46.59,,,,,,,,72.27,,,,,,,,
